1, 109
2, 88
3, 86
4, 117
5, 97
6, 105
7, 126
8, 88
9, 103
10, 81

1, 120
2, 103
3, 88
4, 104
5, 88
6, 106
7, 87
8, 105
9, 108
10, 91

1, 102
2, 76
3, 101
4, 99
5, 98
6, 124
7, 101
8, 93
9, 93
10, 113

1, 96
2, 102
3, 97
4, 81
5, 118
6, 113
7, 89
8, 94
9, 116
10, 94

1, 102
2, 100
3, 94
4, 96
5, 110
6, 105
7, 92
8, 111
9, 94
10, 96

1, 94
2, 103
3, 106
4, 104
5, 90
6, 85
7, 113
8, 107
9, 114
10, 84

1, 101
2, 107
3, 93
4, 121
5, 89
6, 101
7, 102
8, 95
9, 95
10, 96

1, 87
2, 93
3, 104
4, 113
5, 104
6, 89
7, 91
8, 105
9, 116
10, 98

1, 103
2, 107
3, 112
4, 97
5, 91
6, 95
7, 110
8, 95
9, 101
10, 89

1, 96
2, 81
3, 115
4, 98
5, 102
6, 109
7, 100
8, 89
9, 124
10, 86

1, 91
2, 102
3, 99
4, 101
5, 105
6, 95
7, 96
8, 112
9, 101
10, 98

1, 107
2, 98
3, 106
4, 106
5, 97
6, 98
7, 102
8, 98
9, 96
10, 92

1, 105
2, 92
3, 104
4, 104
5, 88
6, 92
7, 132
8, 98
9, 99
10, 86

1, 95
2, 103
3, 84
4, 90
5, 115
6, 101
7, 112
8, 99
9, 89
10, 112

1, 101
2, 103
3, 119
4, 105
5, 102
6, 90
7, 104
8, 83
9, 92
10, 101

1, 98
2, 106
3, 107
4, 96
5, 104
6, 97
7, 100
8, 104
9, 96
10, 92

1, 100
2, 110
3, 91
4, 107
5, 109
6, 90
7, 105
8, 100
9, 84
10, 104

1, 116
2, 108
3, 91
4, 101
5, 100
6, 93
7, 108
8, 90
9, 81
10, 112

1, 106
2, 95
3, 105
4, 90
5, 106
6, 105
7, 99
8, 106
9, 79
10, 109

1, 108
2, 89
3, 102
4, 116
5, 105
6, 97
7, 99
8, 98
9, 94
10, 92

1, 119
2, 90
3, 100
4, 108
5, 72
6, 93
7, 113
8, 108
9, 109
10, 88

1, 96
2, 99
3, 95
4, 105
5, 85
6, 106
7, 87
8, 101
9, 123
10, 103

1, 98
2, 97
3, 108
4, 105
5, 115
6, 91
7, 92
8, 87
9, 109
10, 98

1, 102
2, 101
3, 94
4, 99
5, 105
6, 102
7, 97
8, 92
9, 101
10, 107

1, 107
2, 120
3, 97
4, 94
5, 100
6, 82
7, 82
8, 102
9, 104
10, 112

1, 124
2, 86
3, 110
4, 101
5, 95
6, 99
7, 100
8, 92
9, 83
10, 110

1, 98
2, 108
3, 109
4, 99
5, 84
6, 92
7, 104
8, 94
9, 100
10, 112

1, 91
2, 113
3, 113
4, 103
5, 110
6, 112
7, 89
8, 88
9, 104
10, 77

1, 108
2, 108
3, 97
4, 114
5, 100
6, 95
7, 88
8, 92
9, 100
10, 98

1, 115
2, 105
3, 103
4, 92
5, 106
6, 96
7, 94
8, 88
9, 101
10, 100

1, 103
2, 102
3, 113
4, 105
5, 114
6, 99
7, 95
8, 94
9, 82
10, 93

1, 82
2, 90
3, 94
4, 96
5, 108
6, 109
7, 115
8, 115
9, 102
10, 89

1, 110
2, 104
3, 92
4, 95
5, 93
6, 106
7, 93
8, 96
9, 117
10, 94

1, 103
2, 91
3, 80
4, 104
5, 116
6, 93
7, 91
8, 112
9, 94
10, 116

1, 107
2, 109
3, 78
4, 103
5, 99
6, 108
7, 92
8, 110
9, 97
10, 97

1, 115
2, 107
3, 109
4, 90
5, 93
6, 101
7, 102
8, 95
9, 92
10, 96

1, 100
2, 92
3, 109
4, 106
5, 90
6, 97
7, 99
8, 103
9, 98
10, 106

1, 91
2, 92
3, 114
4, 97
5, 102
6, 95
7, 109
8, 86
9, 106
10, 108

1, 113
2, 94
3, 106
4, 87
5, 114
6, 97
7, 90
8, 97
9, 104
10, 98

1, 104
2, 89
3, 89
4, 112
5, 115
6, 91
7, 118
8, 98
9, 97
10, 87

1, 99
2, 101
3, 90
4, 96
5, 100
6, 112
7, 102
8, 110
9, 106
10, 84

1, 119
2, 92
3, 111
4, 74
5, 100
6, 101
7, 98
8, 103
9, 103
10, 99

1, 95
2, 109
3, 112
4, 106
5, 107
6, 89
7, 85
8, 97
9, 104
10, 96

1, 87
2, 118
3, 109
4, 81
5, 98
6, 90
7, 90
8, 110
9, 118
10, 99

1, 92
2, 98
3, 88
4, 115
5, 100
6, 109
7, 92
8, 99
9, 102
10, 105

1, 113
2, 80
3, 111
4, 97
5, 88
6, 92
7, 110
8, 101
9, 93
10, 115

1, 89
2, 105
3, 118
4, 104
5, 102
6, 98
7, 95
8, 86
9, 108
10, 95

1, 120
2, 121
3, 95
4, 107
5, 84
6, 103
7, 84
8, 107
9, 84
10, 95

1, 102
2, 116
3, 104
4, 106
5, 109
6, 94
7, 99
8, 95
9, 81
10, 94

1, 106
2, 99
3, 93
4, 96
5, 99
6, 111
7, 109
8, 93
9, 100
10, 94

1, 93
2, 95
3, 96
4, 90
5, 112
6, 93
7, 109
8, 112
9, 102
10, 98

